scorer,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000,DeepCut_resnet50_reaching_leftview_rightSep20shuffle1_800000
bodyparts,rightmcp1,rightmcp1,rightmcp1,rightmcp2,rightmcp2,rightmcp2,rightmcp3,rightmcp3,rightmcp3,rightmcp4,rightmcp4,rightmcp4,rightpip1,rightpip1,rightpip1,rightpip2,rightpip2,rightpip2,rightpip3,rightpip3,rightpip3,rightpip4,rightpip4,rightpip4,rightdigit1,rightdigit1,rightdigit1,rightdigit2,rightdigit2,rightdigit2,rightdigit3,rightdigit3,rightdigit3,rightdigit4,rightdigit4,rightdigit4,rightpawdorsum,rightpawdorsum,rightpawdorsum,nose,nose,nose,pellet,pellet,pellet,leftpawdorsum,leftpawdorsum,leftpawdorsum
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,140.08649461716413,254.25779914855957,4.248416007612832e-05,129.5415234565735,261.7049951553345,2.276996929140296e-05,128.70957708358765,266.6690284013748,6.56374459140352e-06,128.04137563705444,266.50656819343567,7.547276709374273e-06,130.9984325170517,254.17713356018066,9.291519745602272e-06,127.85793900489807,265.4906232357025,9.44793464441318e-06,125.25078964233398,269.61109352111816,1.5293024262064137e-05,126.64305019378662,270.5931496620178,6.019730790285394e-06,132.33311367034912,253.5642433166504,4.885633825324476e-05,127.87958073616028,265.26829171180725,8.54138343129307e-05,127.75197911262512,270.15331959724426,2.315274286956992e-05,137.60351490974426,251.55157974362373,2.4407529508607695e-06,140.60468816757202,264.10869884490967,5.067115580459358e-06,134.88092803955078,262.2585096359253,9.855344615061767e-06,128.8136944770813,259.593900680542,1.0,126.72207856178284,263.71115493774414,6.424127150239656e-06
1,140.2271207422018,254.1066699028015,6.439221033360809e-05,129.62005519866943,261.4796071052551,2.959974153782241e-05,128.63309144973755,266.311084151268,7.2374723458779044e-06,128.3798952102661,266.3930673599243,8.126716238621157e-06,131.03889775276184,254.05167961120605,6.769625542801805e-06,127.7657413482666,265.1491048336029,1.0392479453003034e-05,125.02627241611481,269.2262395620346,1.9443550627329387e-05,126.92079424858093,270.3788504600525,6.1686691879003774e-06,127.36641669273376,256.8798062801361,3.154045043629594e-05,127.66192817687988,265.1233079433441,8.682499901624396e-05,127.43227553367615,269.9999428987503,2.6913598048849963e-05,137.84484004974365,251.82487353682518,2.82123028227943e-06,140.61936020851135,263.8189311027527,6.610493983316701e-06,134.65070056915283,261.5883255004883,9.30050100578228e-06,129.58179140090942,259.5819139480591,1.0,126.6776020526886,263.36997747421265,7.185274171206402e-06
2,140.1381562203169,254.20200181007385,3.6802412068936974e-05,129.37573051452637,261.2676787376404,2.664082421688363e-05,128.51054525375366,266.078750371933,6.7885157477576286e-06,128.33228397369385,266.42024993896484,7.469513093383284e-06,131.2034970521927,254.19611263275146,3.859545813611476e-06,127.59832382202148,264.9837794303894,9.474027137912344e-06,125.1035168170929,269.26384794712067,1.6752755982452072e-05,126.73897957801819,270.35975456237793,5.7043762353714556e-06,127.14843678474426,256.9441795349121,2.5930359697667882e-05,127.52071285247803,264.8439667224884,7.740593719063327e-05,127.54647183418274,269.93826246261597,2.267911986564286e-05,137.31749534606934,268.5652633905411,1.3873478792447713e-06,140.53807598352432,263.68724727630615,4.75148908662959e-06,134.6302833557129,261.15601110458374,7.042047400318552e-06,128.43859481811523,259.61655282974243,1.0,126.7093813419342,263.337375164032,5.9962962950521614e-06
3,140.32755625247955,253.7287300825119,7.26707439753227e-05,129.54761505126953,261.21144342422485,4.06186627515126e-05,128.64116382598877,266.04151129722595,7.222917247418081e-06,128.4710545539856,266.5666710138321,8.404249456361867e-06,131.2609257698059,253.71984994411469,6.385578672052361e-06,127.62628889083862,264.6291539669037,1.1684574928949587e-05,124.6420858502388,269.10713720321655,1.859346048149746e-05,126.99315071105957,270.3841121196747,6.166545517771738e-06,126.94651794433594,256.69544649124146,2.650363057909999e-05,127.33968162536621,264.8348731994629,8.623470057500526e-05,127.35794568061829,270.0676531791687,2.7521829906618223e-05,138.11990702152252,251.77874007821083,2.644390860950807e-06,140.62635040283203,263.2923583984375,6.69735800329363e-06,134.65551853179932,261.09315824508667,7.986309356056154e-06,128.70670318603516,259.06690883636475,1.0,126.37987422943115,263.25902366638184,7.874799848650582e-06
4,140.29560980200768,253.56549072265625,6.245715485420078e-05,129.31110429763794,260.9586753845215,4.763833567267284e-05,128.53059816360474,265.776731967926,7.760769221931696e-06,128.43936967849731,266.5178713798523,9.20893216971308e-06,131.24654519557953,253.54267799854279,6.830584425188135e-06,127.50508379936218,264.4479730129242,1.2670067008002661e-05,124.5028145313263,269.01832127571106,2.039023456745781e-05,126.77987504005432,270.32691621780396,6.2633016568725e-06,132.20367527008057,253.099014878273,3.593640940380283e-05,127.21843719482422,264.63705682754517,8.596129191573709e-05,127.23231625556946,269.7783325910568,2.5475026632193476e-05,138.128178358078,251.7527298629284,2.050389184660162e-06,140.66067397594452,263.0803108215332,7.3522728598618414e-06,134.4371109008789,260.83273124694824,6.8694594119733665e-06,128.52747917175293,258.7324481010437,1.0,126.22911715507507,263.04078006744385,7.648615792277269e-06
5,140.148436576128,253.26212882995605,0.00018360782996751368,129.48693752288818,261.15900135040283,3.4004318877123296e-05,128.58769702911377,265.94723320007324,6.0848537941637915e-06,128.36435270309448,266.4305132627487,9.530147508485243e-06,130.91145181655884,252.86052215099335,1.067069206328597e-05,127.60600233078003,264.4906530380249,1.1295248441456351e-05,124.57375109195709,268.88110196590424,2.230500649602618e-05,139.10665601491928,255.24705958366394,8.070228432188742e-06,131.87858247756958,252.74397486448288,3.886252670781687e-05,127.24715089797974,264.67268109321594,9.206040704157203e-05,127.26170635223389,269.9015406370163,3.599591946112923e-05,138.00733947753906,251.8611315190792,6.5624799390207045e-06,140.29194590449333,263.207968711853,8.504393008479383e-06,132.9689359664917,255.87897109985352,9.435193533136044e-06,128.5951247215271,258.0789723396301,1.0,126.3451201915741,263.19738149642944,8.943653483584058e-06
6,139.90990293771029,253.41886699199677,0.00013424543431028724,129.65480947494507,261.60782957077026,2.6165427698288113e-05,128.7154040336609,266.22720992565155,6.2311119108926505e-06,128.34151649475098,266.5290048122406,1.168677226814907e-05,130.58459281921387,253.05273032188416,1.0375378224125598e-05,127.7259042263031,264.82165575027466,1.14085414679721e-05,124.70632666349411,269.0163584947586,2.3346901798504405e-05,127.12567901611328,270.3750123977661,8.074015568126924e-06,126.78053331375122,256.25435495376587,3.509717862471007e-05,127.38650178909302,264.8435320854187,0.00010908461990766227,127.76203966140747,270.1594467163086,5.123023584019393e-05,137.76324129104614,251.99761029193178,5.074398359283805e-06,140.19204992055893,263.3347201347351,1.1404972610762343e-05,134.7137050628662,261.3263592720032,1.3101456715958193e-05,128.61570119857788,258.320209980011,1.0,126.5321114063263,263.336142539978,1.1171644473506603e-05
7,140.38394325971603,253.21749567985535,0.00013483081420417875,129.4595546722412,260.7599849700928,1.9782195522566326e-05,128.4246563911438,265.5415062904358,4.354391421657056e-06,128.66184854507446,266.43152725696564,6.41136603007908e-06,130.91137373447418,252.91178292036057,1.4537168681272306e-05,127.35350346565247,264.21837544441223,6.939883405721048e-06,124.45791870355606,268.3921405375004,1.8484572137822397e-05,138.9453068971634,255.53958868980408,7.918190931377467e-06,131.95541191101074,252.62137973308563,4.231467028148472e-05,127.34533667564392,264.259642124176,4.749916115542874e-05,127.21747517585754,269.82360446453094,2.4325072445208207e-05,137.9982669353485,252.30525252223015,5.060900093667442e-06,140.62312006950378,262.0109190940857,5.542819963011425e-06,132.99352550506592,255.90514159202576,7.688729056098964e-06,128.91431331634521,258.1107888221741,1.0,126.44068026542664,262.9313316345215,7.15704345566337e-06
8,140.17519265413284,253.10069179534912,9.25628628465347e-05,129.14153051376343,260.9495987892151,5.467586379381828e-05,128.4411277770996,265.8434488773346,8.340318345290143e-06,128.3471236228943,266.6453799009323,1.1015944437531289e-05,130.85320699214935,253.0082426071167,1.0691022907849401e-05,127.32143640518188,264.11864018440247,1.4354824088513851e-05,124.36012744903564,268.75483256578445,2.44126367761055e-05,126.92953872680664,270.406644821167,6.493873570434516e-06,131.98213529586792,252.81881564855576,3.845185347017832e-05,127.09267473220825,264.45056557655334,7.933653250802308e-05,127.2885377407074,270.035404920578,3.1079765903996304e-05,137.7516167163849,252.2951381802559,3.704613163790782e-06,140.44890248775482,262.4632658958435,6.192835826368537e-06,134.61215686798096,260.73102712631226,6.940691037016222e-06,128.67246389389038,258.3085255622864,1.0,126.02670621871948,263.28744173049927,9.634083653509151e-06
9,140.38508185744286,252.97290313243866,0.00012335999053902924,129.3284397125244,260.71212434768677,3.354345608386211e-05,128.29463720321655,265.52896547317505,5.1636707212310284e-06,128.49080753326416,266.33195519447327,7.71838767832378e-06,131.0559875369072,253.00948405265808,1.0735528121585958e-05,127.3289225101471,264.06554222106934,8.58537714520935e-06,124.09884660691023,268.34800854325294,2.0174453311483376e-05,138.9317568540573,255.23996782302856,6.909940566401929e-06,132.04623222351074,252.71925723552704,3.90471177524887e-05,127.16990613937378,264.1412994861603,6.42266240902245e-05,126.83841729164124,269.4821753501892,2.777468580461573e-05,137.96060705184937,252.3007329404354,4.558395175990881e-06,140.72383397817612,262.13540410995483,4.7019052544783335e-06,133.19480228424072,256.1745710372925,6.775237579859095e-06,128.81739902496338,258.0767230987549,1.0,126.03365588188171,262.5085463523865,9.348520507046487e-06
10,140.56237721443176,252.56297010183334,0.0002537932014092803,134.46668148040771,260.45581340789795,3.0779647204326466e-05,128.4764814376831,265.5225615501404,5.2557165872713085e-06,128.6490077972412,266.4673283100128,7.414877927658381e-06,131.1828361749649,252.5763349533081,1.60383297043154e-05,127.54905295372009,264.37790179252625,9.813271390157752e-06,124.46582210063934,268.75525039434433,2.049302747764159e-05,139.0439965724945,255.666086435318,8.487701961712446e-06,131.96605110168457,252.40405151247978,4.233920844853856e-05,127.52388215065002,264.34959602355957,7.125167758204043e-05,127.28109002113342,269.51410496234894,2.7172629415872507e-05,138.34150993824005,252.4561127126217,7.804961569490843e-06,141.03609144687653,262.61018085479736,1.1010356502083596e-05,133.17415618896484,255.81778359413147,1.0274589840264525e-05,128.89892053604126,257.60751008987427,1.0,126.25599145889282,262.8890104293823,1.0481223398528527e-05
11,140.81410068273544,252.53283685445786,0.00015452670049853623,134.61985111236572,260.119345664978,2.77024428214645e-05,128.53099155426025,265.29778695106506,4.389568857732229e-06,128.84594058990479,266.28729379177094,7.201450898719486e-06,131.28930753469467,252.44075652956963,1.2867674740846269e-05,127.58308959007263,264.15963077545166,9.08925176190678e-06,124.3688659965992,268.3699404299259,2.303401561221108e-05,138.98130357265472,255.62135934829712,7.4739382398547605e-06,131.869647026062,252.07730359584093,4.5542481529992074e-05,127.39498710632324,264.27035188674927,6.661645602434874e-05,127.32255482673645,269.51320922374725,2.8503176508820616e-05,138.19432055950165,252.62359809875488,7.111465947673423e-06,141.15133893489838,262.0323910713196,1.1510546755744144e-05,133.24747467041016,255.44118666648865,1.2936924576933961e-05,128.87975645065308,257.2824869155884,1.0,126.29792141914368,262.76454734802246,9.322755431639962e-06
12,140.70716869831085,252.1703810095787,0.0001510746224084869,141.77360439300537,251.81437999010086,2.6449344659340568e-05,127.94331502914429,264.5434968471527,3.990035565948347e-06,128.7533140182495,266.21537351608276,5.647050329571357e-06,131.17001456022263,252.11136589199305,1.2033402526867576e-05,127.15034222602844,263.8116388320923,6.791857686039293e-06,124.05789911746979,268.0592557787895,1.742352105793543e-05,138.82381653785706,255.58078503608704,9.382629286847077e-06,131.78045082092285,251.76915886998177,4.1236380639020354e-05,127.24617981910706,263.8090572357178,4.451486893231049e-05,126.76748132705688,268.92971765995026,1.6737425539758988e-05,138.1658228635788,252.63763046264648,8.691533366800286e-06,141.06539940834045,261.7531976699829,1.385128780384548e-05,133.25845336914062,254.98585629463196,1.552213689137716e-05,128.6012363433838,256.56810665130615,1.0,126.06582069396973,262.1156630516052,7.47205012885388e-06
13,140.4612050652504,252.1625533401966,0.00025522412033751607,141.42221224308014,251.64769744873047,3.3501546568004414e-05,128.01644706726074,264.624240398407,3.824430223176023e-06,128.69146394729614,266.10012125968933,7.3128680924128275e-06,131.29488438367844,252.31130388379097,1.3323963685252238e-05,127.29769730567932,263.8657703399658,7.99485860625282e-06,124.02314089238644,267.85845474898815,2.392960050201509e-05,139.0103954076767,255.5600323677063,1.06530605989974e-05,132.00821113586426,252.09707908332348,3.270470187999308e-05,127.21536064147949,264.06500148773193,5.7028188166441396e-05,126.74486589431763,269.0941013097763,3.156202001264319e-05,138.26366293430328,252.0418805629015,8.722072379896417e-06,140.94894993305206,262.0077157020569,8.711947884876281e-06,133.37990379333496,255.50918626785278,1.1249732779106125e-05,128.74083852767944,257.04531955718994,1.0,126.12070322036743,262.1143231391907,9.120301001530606e-06
