002,99,
003,99,
004,99,
005,99,
006,99,
007,99,
008,99,
009,99,
010,99,
011,99,
012,99,
013,99,
014,99,
015,99,
016,99,
017,99,
018,99,
019,99,
020,99,
021,99,
022,99,
023,99,
024,99,
025,99,
026,99,
028,99,
029,99,
030,99,
031,99,
033,99,
034,99,
035,99,
036,99,
037,99,
038,99,
039,99,
040,99,
042,99,
043,99,
044,99,
045,99,
046,99,
047,99,
048,99,
049,99,
050,99,
051,99,
052,99,
054,99,
055,99,
056,99,
057,99,
058,99,
059,99,
060,99,
062,99,
063,99,
064,99,
065,99,
066,99,
068,99,
069,99,
070,99,
071,99,
072,99,
073,99,
074,99,
075,99,
077,99,
078,99,
079,99,
080,99,
081,99,
